x,y,label
2.781083600,2.550537003,0
1.465489372,2.362125076,0
3.396561688,4.400293529,0
1.388070190,1.850220317,0
3.064072320,3.005305973,0
2.281083600,2.950537003,0
1.865489372,2.862125076,0
3.896561688,4.000293529,0
1.088070190,1.150220317,0
3.964072320,3.005305973,0
7.627531214,2.759262235,1
5.332441248,2.088626775,1
6.922596716,1.771063670,1
8.375418651,0.520686549,1
7.673756466,3.508563011,1
6.627531214,2.992622350,1
6.332441248,1.088626775,1
5.922596716,1.881063670,1
8.675418651,0.302068655,1
7.673756466,1.508563011,1